in:Option_ID,in:WWR_N,in:WWR_E,in:WWR_S,in:WWR_W,in:Vert_Overhang,in:Horiz_Overhang,in:Wall_R,in:Roof_R,in:Glazing_U,in:Operable_Percent,in:Scale,in:Length,in:SHGC,in:Infil,out:Peak_Cooling_Load,out:Peak_Heating_Load,out:Hours_above_acceptability,out:1,out:2,out:3,out:4,out:5,out:6,out:7,out:8,out:9,out:10,out:11
434,0.6981403,0.168681457,0.299821879,0.346040709,0.397697972,0.620071696,16.95014096,15.66025102,0.553528034,0.157069978,1.191801952,23.76989944,0.474829322,0.000388024,426903.727,675940.198,80,81,78,82,84,81,81,83,80,77,77,77
435,0.512108843,0.40969675,0.71858948,0.559065847,0.610250135,0.701722034,20.66367019,34.405546,0.854987587,0.205878722,0.934020677,29.72760012,0.306827825,0.000333244,248688.7152,398011.679,78,72,74,80,80,78,80,82,78,72,74,71
436,0.470257829,0.180480923,0.358163725,0.485118604,0.621567308,1.80326356,7.520627661,12.7843825,0.722703604,0.763527771,0.859226706,24.29093884,0.549630068,0.000479816,264437.5487,331121.108,79,77,78,80,80,80,81,80,80,78,73,77
437,0.208027477,0.218813748,0.250145788,0.568854587,0.88074723,0.107256394,28.68113273,31.5728741,0.417354568,0.137214881,0.815221195,20.12112594,0.357249304,0.00027535,145968.0758,184544.965,80,79,80,84,90,83,84,90,83,81,81,80
438,0.68835161,0.664584485,0.151661656,0.203244253,0.493432909,1.787395057,29.96108717,22.19752933,0.974383322,0.243135466,1.151544946,20.98533763,0.270617936,0.000299262,382628.2897,603065.899,73,69,68,80,83,79,78,79,76,77,68,67
439,0.153894219,0.576178512,0.666072617,0.726495134,0.65880714,1.978900211,16.77712762,17.56998065,0.28299616,0.436853415,1.052242074,28.53126367,0.293264662,0.000433262,313041.762,375513.0054,79,65,72,81,80,79,80,83,79,80,69,75
440,0.330094054,0.329336085,0.562767655,0.641596874,0.222807759,1.982499319,21.48680458,35.29609658,0.606985585,0.456178439,1.125359911,28.83450811,0.407132008,0.000468161,358938.303,443054.097,78,69,76,80,78,79,80,80,79,77,69,74
441,0.184882721,0.761424041,0.645551691,0.200099455,0.189498384,1.61003426,16.27853084,12.74243263,0.904915391,0.291898519,0.948291499,22.64245292,0.359256757,0.000302815,314408.3122,366000.792,79,74,69,79,80,79,84,85,80,77,71,72
442,0.303893991,0.738415557,0.300267327,0.482616971,0.898886142,1.54331563,14.22442243,18.08804248,0.442685426,0.394172276,0.809675464,26.52547882,0.403128402,0.000345705,192933.3759,245371.739,82,78,77,84,83,82,84,84,82,80,77,77
443,0.653079812,0.311717211,0.426572001,0.481516658,0.36277489,1.883518807,10.16571198,5.069828542,0.932916792,0.366288011,1.178467363,24.43221124,0.216383743,0.000256492,471985.4134,927753.508,70,69,67,77,80,77,73,77,74,74,66,68
444,0.384116303,0.398115521,0.31065274,0.311828074,0.464169152,0.172507369,19.57563456,11.4127761,0.403997922,0.41942029,0.820880614,24.81628017,0.283002565,0.000375976,176688.3905,280302.67,78,70,71,81,82,80,81,81,80,78,71,70
445,0.553748128,0.253307749,0.509711713,0.645453969,0.367148397,0.918881185,11.47247698,38.71038258,0.346350272,0.136561068,1.093061014,25.49383334,0.570604536,0.000222129,369332.992,335500.085,84,83,82,86,88,85,87,89,85,84,82,82
446,0.277280175,0.187837608,0.492470166,0.242574878,0.548610624,0.939409972,29.22866718,20.75899464,0.999193314,0.655496134,1.134264723,24.08920039,0.422404826,0.0002195,280477.5764,375096.4396,76,69,71,80,81,79,81,82,81,77,70,73
447,0.636775275,0.346370739,0.211861632,0.204881171,0.495101093,1.748476275,15.19036907,11.87885486,0.903713928,0.204449182,1.188061266,20.81290173,0.581373559,0.000377429,489784.415,794836.634,81,80,78,82,84,82,82,84,81,80,78,75
